"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"New Haven County, CT"	"09009"	"Puerto Rican"	"2180-8"	93	12614	7.37
	"New Haven County, CT"	"09009"	"Cuban"	"2182-4"	Suppressed	212	Suppressed
	"New Haven County, CT"	"09009"	"Central or South American"	"4"	27	4738	5.70
	"New Haven County, CT"	"09009"	"Non-Hispanic White"	"6"	205	44440	4.61
	"New Haven County, CT"	"09009"	"Non-Hispanic Black"	"7"	143	13525	10.57
	"New London County, CT"	"09011"	"Mexican"	"2148-5"	Suppressed	332	Suppressed
	"New London County, CT"	"09011"	"Puerto Rican"	"2180-8"	12	1771	6.78 (Unreliable)
	"New London County, CT"	"09011"	"Cuban"	"2182-4"	Suppressed	40	Suppressed
	"New London County, CT"	"09011"	"Central or South American"	"4"	Suppressed	1156	Suppressed
	"New London County, CT"	"09011"	"Non-Hispanic White"	"6"	90	18141	4.96
	"New London County, CT"	"09011"	"Non-Hispanic Black"	"7"	19	1892	10.04 (Unreliable)
	"Unidentified Counties, CT"	"09999"	"Mexican"	"2148-5"	Suppressed	611	Suppressed
	"Unidentified Counties, CT"	"09999"	"Puerto Rican"	"2180-8"	Suppressed	2302	Suppressed
	"Unidentified Counties, CT"	"09999"	"Cuban"	"2182-4"	Suppressed	82	Suppressed
	"Unidentified Counties, CT"	"09999"	"Central or South American"	"4"	Suppressed	1130	Suppressed
	"Unidentified Counties, CT"	"09999"	"Non-Hispanic White"	"6"	174	40387	4.31
	"Unidentified Counties, CT"	"09999"	"Non-Hispanic Black"	"7"	17	1690	10.06 (Unreliable)
	"New Castle County, DE"	"10003"	"Mexican"	"2148-5"	32	4493	7.12
	"New Castle County, DE"	"10003"	"Puerto Rican"	"2180-8"	23	1969	11.68
	"New Castle County, DE"	"10003"	"Cuban"	"2182-4"	Suppressed	79	Suppressed
	"New Castle County, DE"	"10003"	"Central or South American"	"4"	Suppressed	624	Suppressed
	"New Castle County, DE"	"10003"	"Non-Hispanic White"	"6"	183	31505	5.81
	"New Castle County, DE"	"10003"	"Non-Hispanic Black"	"7"	264	18148	14.55
	"Unidentified Counties, DE"	"10999"	"Mexican"	"2148-5"	Suppressed	2020	Suppressed
	"Unidentified Counties, DE"	"10999"	"Puerto Rican"	"2180-8"	Suppressed	946	Suppressed
	"Unidentified Counties, DE"	"10999"	"Cuban"	"2182-4"	Suppressed	55	Suppressed
	"Unidentified Counties, DE"	"10999"	"Central or South American"	"4"	13	3085	4.21 (Unreliable)
	"Unidentified Counties, DE"	"10999"	"Non-Hispanic White"	"6"	139	24141	5.76
	"Unidentified Counties, DE"	"10999"	"Non-Hispanic Black"	"7"	93	9260	10.04
	"District of Columbia, DC"	"11001"	"Mexican"	"2148-5"	10	1404	7.12 (Unreliable)
	"District of Columbia, DC"	"11001"	"Puerto Rican"	"2180-8"	Suppressed	278	Suppressed
	"District of Columbia, DC"	"11001"	"Cuban"	"2182-4"	Suppressed	133	Suppressed
	"District of Columbia, DC"	"11001"	"Central or South American"	"4"	54	9303	5.80
	"District of Columbia, DC"	"11001"	"Non-Hispanic White"	"6"	76	23605	3.22
	"District of Columbia, DC"	"11001"	"Non-Hispanic Black"	"7"	569	43477	13.09
	"Brevard County, FL"	"12009"	"Mexican"	"2148-5"	Suppressed	1134	Suppressed
	"Brevard County, FL"	"12009"	"Puerto Rican"	"2180-8"	14	2007	6.98 (Unreliable)
	"Brevard County, FL"	"12009"	"Cuban"	"2182-4"	Suppressed	444	Suppressed
	"Brevard County, FL"	"12009"	"Central or South American"	"4"	Suppressed	1531	Suppressed
	"Brevard County, FL"	"12009"	"Non-Hispanic White"	"6"	180	33096	5.44
	"Brevard County, FL"	"12009"	"Non-Hispanic Black"	"7"	86	6967	12.34
	"Broward County, FL"	"12011"	"Mexican"	"2148-5"	25	5221	4.79
	"Broward County, FL"	"12011"	"Puerto Rican"	"2180-8"	45	9194	4.89
	"Broward County, FL"	"12011"	"Cuban"	"2182-4"	32	8373	3.82
	"Broward County, FL"	"12011"	"Central or South American"	"4"	95	31251	3.04
	"Broward County, FL"	"12011"	"Non-Hispanic White"	"6"	206	54009	3.81
	"Broward County, FL"	"12011"	"Non-Hispanic Black"	"7"	654	73769	8.87
	"Collier County, FL"	"12021"	"Mexican"	"2148-5"	37	7848	4.71
	"Collier County, FL"	"12021"	"Puerto Rican"	"2180-8"	Suppressed	737	Suppressed
	"Collier County, FL"	"12021"	"Cuban"	"2182-4"	11	2012	5.47 (Unreliable)
	"Collier County, FL"	"12021"	"Central or South American"	"4"	16	3800	4.21 (Unreliable)
	"Collier County, FL"	"12021"	"Non-Hispanic White"	"6"	68	11773	5.78
	"Collier County, FL"	"12021"	"Non-Hispanic Black"	"7"	43	3652	11.77
	"Duval County, FL"	"12031"	"Mexican"	"2148-5"	18	2960	6.08 (Unreliable)
	"Duval County, FL"	"12031"	"Puerto Rican"	"2180-8"	30	3248	9.24
	"Duval County, FL"	"12031"	"Cuban"	"2182-4"	Suppressed	958	Suppressed
	"Duval County, FL"	"12031"	"Central or South American"	"4"	23	3286	7.00
	"Duval County, FL"	"12031"	"Non-Hispanic White"	"6"	329	56914	5.78
	"Duval County, FL"	"12031"	"Non-Hispanic Black"	"7"	537	41679	12.88
	"Escambia County, FL"	"12033"	"Mexican"	"2148-5"	Suppressed	986	Suppressed
	"Escambia County, FL"	"12033"	"Puerto Rican"	"2180-8"	Suppressed	343	Suppressed
	"Escambia County, FL"	"12033"	"Cuban"	"2182-4"	Suppressed	100	Suppressed
	"Escambia County, FL"	"12033"	"Central or South American"	"4"	Suppressed	486	Suppressed
	"Escambia County, FL"	"12033"	"Non-Hispanic White"	"6"	133	21418	6.21
	"Escambia County, FL"	"12033"	"Non-Hispanic Black"	"7"	154	11231	13.71
	"Hillsborough County, FL"	"12057"	"Mexican"	"2148-5"	87	15393	5.65
	"Hillsborough County, FL"	"12057"	"Puerto Rican"	"2180-8"	113	13267	8.52
	"Hillsborough County, FL"	"12057"	"Cuban"	"2182-4"	52	7226	7.20
	"Hillsborough County, FL"	"12057"	"Central or South American"	"4"	48	8024	5.98
	"Hillsborough County, FL"	"12057"	"Non-Hispanic White"	"6"	354	66146	5.35
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	474	32177	14.73
	"Lake County, FL"	"12069"	"Mexican"	"2148-5"	Suppressed	470	Suppressed
	"Lake County, FL"	"12069"	"Puerto Rican"	"2180-8"	Suppressed	446	Suppressed
	"Lake County, FL"	"12069"	"Cuban"	"2182-4"	Suppressed	59	Suppressed
	"Lake County, FL"	"12069"	"Central or South American"	"4"	Suppressed	159	Suppressed
	"Lake County, FL"	"12069"	"Non-Hispanic White"	"6"	35	4025	8.70
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	18	936	19.23 (Unreliable)
	"Lee County, FL"	"12071"	"Mexican"	"2148-5"	38	6816	5.58
	"Lee County, FL"	"12071"	"Puerto Rican"	"2180-8"	18	3178	5.66 (Unreliable)
	"Lee County, FL"	"12071"	"Cuban"	"2182-4"	Suppressed	2344	Suppressed
	"Lee County, FL"	"12071"	"Central or South American"	"4"	25	5274	4.74
	"Lee County, FL"	"12071"	"Non-Hispanic White"	"6"	135	31424	4.30
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	120	8574	14.00
	"Leon County, FL"	"12073"	"Mexican"	"2148-5"	Suppressed	111	Suppressed
	"Leon County, FL"	"12073"	"Puerto Rican"	"2180-8"	Suppressed	56	Suppressed
	"Leon County, FL"	"12073"	"Cuban"	"2182-4"	Suppressed	36	Suppressed
	"Leon County, FL"	"12073"	"Central or South American"	"4"	Suppressed	101	Suppressed
	"Leon County, FL"	"12073"	"Non-Hispanic White"	"6"	16	2965	5.40 (Unreliable)
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	26	2597	10.01
	"Manatee County, FL"	"12081"	"Mexican"	"2148-5"	44	6600	6.67
	"Manatee County, FL"	"12081"	"Puerto Rican"	"2180-8"	Suppressed	861	Suppressed
	"Manatee County, FL"	"12081"	"Cuban"	"2182-4"	Suppressed	253	Suppressed
	"Manatee County, FL"	"12081"	"Central or South American"	"4"	11	1941	5.67 (Unreliable)
	"Manatee County, FL"	"12081"	"Non-Hispanic White"	"6"	97	16990	5.71
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	58	4678	12.40
	"Marion County, FL"	"12083"	"Mexican"	"2148-5"	Suppressed	1553	Suppressed
	"Marion County, FL"	"12083"	"Puerto Rican"	"2180-8"	17	1873	9.08 (Unreliable)
	"Marion County, FL"	"12083"	"Cuban"	"2182-4"	Suppressed	297	Suppressed
	"Marion County, FL"	"12083"	"Central or South American"	"4"	Suppressed	906	Suppressed
	"Marion County, FL"	"12083"	"Non-Hispanic White"	"6"	119	19641	6.06
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	91	6188	14.71
	"Miami-Dade County, FL"	"12086"	"Mexican"	"2148-5"	49	8715	5.62
	"Miami-Dade County, FL"	"12086"	"Puerto Rican"	"2180-8"	52	10143	5.13
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	235	72436	3.24
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	228	76417	2.98
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic White"	"6"	152	39406	3.86
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	628	65747	9.55
	"Orange County, FL"	"12095"	"Mexican"	"2148-5"	45	7161	6.28
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	130	20442	6.36
	"Orange County, FL"	"12095"	"Cuban"	"2182-4"	14	2313	6.05 (Unreliable)
	"Orange County, FL"	"12095"	"Central or South American"	"4"	51	10590	4.82
	"Orange County, FL"	"12095"	"Non-Hispanic White"	"6"	233	52313	4.45
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	488	39739	12.28
	"Osceola County, FL"	"12097"	"Mexican"	"2148-5"	Suppressed	263	Suppressed
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	14	2838	4.93 (Unreliable)
	"Osceola County, FL"	"12097"	"Cuban"	"2182-4"	Suppressed	172	Suppressed
	"Osceola County, FL"	"12097"	"Central or South American"	"4"	Suppressed	842	Suppressed
	"Osceola County, FL"	"12097"	"Non-Hispanic White"	"6"	11	2650	4.15 (Unreliable)
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	Suppressed	926	Suppressed
	"Palm Beach County, FL"	"12099"	"Mexican"	"2148-5"	37	9097	4.07
	"Palm Beach County, FL"	"12099"	"Puerto Rican"	"2180-8"	42	5040	8.33
	"Palm Beach County, FL"	"12099"	"Cuban"	"2182-4"	15	4331	3.46 (Unreliable)
	"Palm Beach County, FL"	"12099"	"Central or South American"	"4"	76	19506	3.90
	"Palm Beach County, FL"	"12099"	"Non-Hispanic White"	"6"	156	48314	3.23
	"Palm Beach County, FL"	"12099"	"Non-Hispanic Black"	"7"	353	37274	9.47
	"Pasco County, FL"	"12101"	"Mexican"	"2148-5"	13	2202	5.90 (Unreliable)
	"Pasco County, FL"	"12101"	"Puerto Rican"	"2180-8"	17	2559	6.64 (Unreliable)
	"Pasco County, FL"	"12101"	"Cuban"	"2182-4"	Suppressed	703	Suppressed
	"Pasco County, FL"	"12101"	"Central or South American"	"4"	Suppressed	1396	Suppressed
	"Pasco County, FL"	"12101"	"Non-Hispanic White"	"6"	199	32936	6.04
	"Pasco County, FL"	"12101"	"Non-Hispanic Black"	"7"	25	2646	9.45
	"Pinellas County, FL"	"12103"	"Mexican"	"2148-5"	29	4590	6.32
	"Pinellas County, FL"	"12103"	"Puerto Rican"	"2180-8"	21	2605	8.06
	"Pinellas County, FL"	"12103"	"Cuban"	"2182-4"	Suppressed	716	Suppressed
	"Pinellas County, FL"	"12103"	"Central or South American"	"4"	Suppressed	1811	Suppressed
	"Pinellas County, FL"	"12103"	"Non-Hispanic White"	"6"	271	49536	5.47
	"Pinellas County, FL"	"12103"	"Non-Hispanic Black"	"7"	215	14452	14.88
	"Polk County, FL"	"12105"	"Mexican"	"2148-5"	63	10034	6.28
	"Polk County, FL"	"12105"	"Puerto Rican"	"2180-8"	33	4396	7.51
	"Polk County, FL"	"12105"	"Cuban"	"2182-4"	Suppressed	728	Suppressed
	"Polk County, FL"	"12105"	"Central or South American"	"4"	Suppressed	1863	Suppressed
	"Polk County, FL"	"12105"	"Non-Hispanic White"	"6"	242	35859	6.75
	"Polk County, FL"	"12105"	"Non-Hispanic Black"	"7"	157	13440	11.68
	"St. Lucie County, FL"	"12111"	"Mexican"	"2148-5"	Suppressed	524	Suppressed
	"St. Lucie County, FL"	"12111"	"Puerto Rican"	"2180-8"	Suppressed	295	Suppressed
	"St. Lucie County, FL"	"12111"	"Cuban"	"2182-4"	Suppressed	106	Suppressed
	"St. Lucie County, FL"	"12111"	"Central or South American"	"4"	Suppressed	353	Suppressed
	"St. Lucie County, FL"	"12111"	"Non-Hispanic White"	"6"	Suppressed	2829	Suppressed
	"St. Lucie County, FL"	"12111"	"Non-Hispanic Black"	"7"	23	1748	13.16
	"Sarasota County, FL"	"12115"	"Mexican"	"2148-5"	11	2040	5.39 (Unreliable)
	"Sarasota County, FL"	"12115"	"Puerto Rican"	"2180-8"	Suppressed	513	Suppressed
	"Sarasota County, FL"	"12115"	"Cuban"	"2182-4"	Suppressed	385	Suppressed
	"Sarasota County, FL"	"12115"	"Central or South American"	"4"	Suppressed	960	Suppressed
	"Sarasota County, FL"	"12115"	"Non-Hispanic White"	"6"	78	19166	4.07
	"Sarasota County, FL"	"12115"	"Non-Hispanic Black"	"7"	24	2594	9.25
	"Seminole County, FL"	"12117"	"Mexican"	"2148-5"	Suppressed	1104	Suppressed
	"Seminole County, FL"	"12117"	"Puerto Rican"	"2180-8"	21	4033	5.21
	"Seminole County, FL"	"12117"	"Cuban"	"2182-4"	Suppressed	531	Suppressed
	"Seminole County, FL"	"12117"	"Central or South American"	"4"	Suppressed	2145	Suppressed
	"Seminole County, FL"	"12117"	"Non-Hispanic White"	"6"	103	23768	4.33
	"Seminole County, FL"	"12117"	"Non-Hispanic Black"	"7"	82	6269	13.08
	"Volusia County, FL"	"12127"	"Mexican"	"2148-5"	11	2491	4.42 (Unreliable)
	"Volusia County, FL"	"12127"	"Puerto Rican"	"2180-8"	27	3038	8.89
	"Volusia County, FL"	"12127"	"Cuban"	"2182-4"	Suppressed	325	Suppressed
	"Volusia County, FL"	"12127"	"Central or South American"	"4"	Suppressed	928	Suppressed
	"Volusia County, FL"	"12127"	"Non-Hispanic White"	"6"	139	28695	4.84
	"Volusia County, FL"	"12127"	"Non-Hispanic Black"	"7"	84	7200	11.67
	"Unidentified Counties, FL"	"12999"	"Mexican"	"2148-5"	139	26455	5.25
	"Unidentified Counties, FL"	"12999"	"Puerto Rican"	"2180-8"	106	17709	5.99
	"Unidentified Counties, FL"	"12999"	"Cuban"	"2182-4"	20	4304	4.65
	"Unidentified Counties, FL"	"12999"	"Central or South American"	"4"	53	12783	4.15
	"Unidentified Counties, FL"	"12999"	"Non-Hispanic White"	"6"	1458	254532	5.73
	"Unidentified Counties, FL"	"12999"	"Non-Hispanic Black"	"7"	831	65720	12.64
	"Chatham County, GA"	"13051"	"Mexican"	"2148-5"	Suppressed	355	Suppressed
	"Chatham County, GA"	"13051"	"Puerto Rican"	"2180-8"	Suppressed	130	Suppressed
	"Chatham County, GA"	"13051"	"Cuban"	"2182-4"	Suppressed	23	Suppressed
	"Chatham County, GA"	"13051"	"Central or South American"	"4"	Suppressed	153	Suppressed
	"Chatham County, GA"	"13051"	"Non-Hispanic White"	"6"	16	3494	4.58 (Unreliable)
	"Chatham County, GA"	"13051"	"Non-Hispanic Black"	"7"	43	3206	13.41
	"Clayton County, GA"	"13063"	"Mexican"	"2148-5"	Suppressed	1132	Suppressed
	"Clayton County, GA"	"13063"	"Puerto Rican"	"2180-8"	Suppressed	95	Suppressed
	"Clayton County, GA"	"13063"	"Cuban"	"2182-4"	Suppressed	15	Suppressed
	"Clayton County, GA"	"13063"	"Central or South American"	"4"	Suppressed	139	Suppressed
	"Clayton County, GA"	"13063"	"Non-Hispanic White"	"6"	Suppressed	583	Suppressed
	"Clayton County, GA"	"13063"	"Non-Hispanic Black"	"7"	47	4934	9.53
	"Cobb County, GA"	"13067"	"Mexican"	"2148-5"	57	11424	4.99
	"Cobb County, GA"	"13067"	"Puerto Rican"	"2180-8"	Suppressed	789	Suppressed
	"Cobb County, GA"	"13067"	"Cuban"	"2182-4"	Suppressed	213	Suppressed
	"Cobb County, GA"	"13067"	"Central or South American"	"4"	19	3652	5.20 (Unreliable)
	"Cobb County, GA"	"13067"	"Non-Hispanic White"	"6"	160	39136	4.09
	"Cobb County, GA"	"13067"	"Non-Hispanic Black"	"7"	282	25568	11.03
	"DeKalb County, GA"	"13089"	"Mexican"	"2148-5"	61	10128	6.02
	"DeKalb County, GA"	"13089"	"Puerto Rican"	"2180-8"	Suppressed	550	Suppressed
	"DeKalb County, GA"	"13089"	"Cuban"	"2182-4"	Suppressed	200	Suppressed
	"DeKalb County, GA"	"13089"	"Central or South American"	"4"	18	4731	3.80 (Unreliable)
	"DeKalb County, GA"	"13089"	"Non-Hispanic White"	"6"	78	22573	3.46
	"DeKalb County, GA"	"13089"	"Non-Hispanic Black"	"7"	496	51622	9.61
	"Fulton County, GA"	"13121"	"Mexican"	"2148-5"	46	10420	4.41
	"Fulton County, GA"	"13121"	"Puerto Rican"	"2180-8"	Suppressed	756	Suppressed
	"Fulton County, GA"	"13121"	"Cuban"	"2182-4"	Suppressed	247	Suppressed
	"Fulton County, GA"	"13121"	"Central or South American"	"4"	12	2687	4.47 (Unreliable)
	"Fulton County, GA"	"13121"	"Non-Hispanic White"	"6"	135	36939	3.65
	"Fulton County, GA"	"13121"	"Non-Hispanic Black"	"7"	640	62789	10.19
	"Gwinnett County, GA"	"13135"	"Mexican"	"2148-5"	122	22082	5.52
	"Gwinnett County, GA"	"13135"	"Puerto Rican"	"2180-8"	Suppressed	1203	Suppressed
	"Gwinnett County, GA"	"13135"	"Cuban"	"2182-4"	Suppressed	376	Suppressed
	"Gwinnett County, GA"	"13135"	"Central or South American"	"4"	35	9072	3.86
	"Gwinnett County, GA"	"13135"	"Non-Hispanic White"	"6"	126	31962	3.94
	"Gwinnett County, GA"	"13135"	"Non-Hispanic Black"	"7"	248	25683	9.66
	"Unidentified Counties, GA"	"13999"	"Mexican"	"2148-5"	285	63413	4.49
	"Unidentified Counties, GA"	"13999"	"Puerto Rican"	"2180-8"	37	5799	6.38
	"Unidentified Counties, GA"	"13999"	"Cuban"	"2182-4"	11	1306	8.42 (Unreliable)
	"Unidentified Counties, GA"	"13999"	"Central or South American"	"4"	97	16226	5.98
	"Unidentified Counties, GA"	"13999"	"Non-Hispanic White"	"6"	2418	419900	5.76
	"Unidentified Counties, GA"	"13999"	"Non-Hispanic Black"	"7"	2879	238981	12.05
	"Honolulu County, HI"	"15003"	"Mexican"	"2148-5"	11	4199	2.62 (Unreliable)
	"Honolulu County, HI"	"15003"	"Puerto Rican"	"2180-8"	33	4661	7.08
	"Honolulu County, HI"	"15003"	"Cuban"	"2182-4"	Suppressed	160	Suppressed
	"Honolulu County, HI"	"15003"	"Central or South American"	"4"	Suppressed	1039	Suppressed
	"Honolulu County, HI"	"15003"	"Non-Hispanic White"	"6"	140	29371	4.77
	"Honolulu County, HI"	"15003"	"Non-Hispanic Black"	"7"	53	4095	12.94
	"Unidentified Counties, HI"	"15999"	"Mexican"	"2148-5"	Suppressed	2173	Suppressed
	"Unidentified Counties, HI"	"15999"	"Puerto Rican"	"2180-8"	20	3198	6.25
	"Unidentified Counties, HI"	"15999"	"Cuban"	"2182-4"	Suppressed	57	Suppressed
	"Unidentified Counties, HI"	"15999"	"Central or South American"	"4"	Suppressed	378	Suppressed
	"Unidentified Counties, HI"	"15999"	"Non-Hispanic White"	"6"	44	13505	3.26
	"Unidentified Counties, HI"	"15999"	"Non-Hispanic Black"	"7"	Suppressed	402	Suppressed
	"Ada County, ID"	"16001"	"Mexican"	"2148-5"	17	3301	5.15 (Unreliable)
	"Ada County, ID"	"16001"	"Puerto Rican"	"2180-8"	Suppressed	125	Suppressed
	"Ada County, ID"	"16001"	"Cuban"	"2182-4"	Suppressed	42	Suppressed
	"Ada County, ID"	"16001"	"Central or South American"	"4"	Suppressed	328	Suppressed
	"Ada County, ID"	"16001"	"Non-Hispanic White"	"6"	195	39573	4.93
	"Ada County, ID"	"16001"	"Non-Hispanic Black"	"7"	Suppressed	785	Suppressed
	"Unidentified Counties, ID"	"16999"	"Mexican"	"2148-5"	153	23538	6.50
	"Unidentified Counties, ID"	"16999"	"Puerto Rican"	"2180-8"	Suppressed	292	Suppressed
	"Unidentified Counties, ID"	"16999"	"Cuban"	"2182-4"	Suppressed	60	Suppressed
	"Unidentified Counties, ID"	"16999"	"Central or South American"	"4"	Suppressed	1108	Suppressed
	"Unidentified Counties, ID"	"16999"	"Non-Hispanic White"	"6"	683	128655	5.31
	"Unidentified Counties, ID"	"16999"	"Non-Hispanic Black"	"7"	Suppressed	816	Suppressed
	"Cook County, IL"	"17031"	"Mexican"	"2148-5"	887	166240	5.34
	"Cook County, IL"	"17031"	"Puerto Rican"	"2180-8"	123	16640	7.39
	"Cook County, IL"	"17031"	"Cuban"	"2182-4"	Suppressed	1009	Suppressed
	"Cook County, IL"	"17031"	"Central or South American"	"4"	56	12592	4.45
	"Cook County, IL"	"17031"	"Non-Hispanic White"	"6"	1008	227377	4.43
	"Cook County, IL"	"17031"	"Non-Hispanic Black"	"7"	2208	169081	13.06
	"DuPage County, IL"	"17043"	"Mexican"	"2148-5"	88	17670	4.98
	"DuPage County, IL"	"17043"	"Puerto Rican"	"2180-8"	Suppressed	905	Suppressed
	"DuPage County, IL"	"17043"	"Cuban"	"2182-4"	Suppressed	179	Suppressed
	"DuPage County, IL"	"17043"	"Central or South American"	"4"	Suppressed	1374	Suppressed
	"DuPage County, IL"	"17043"	"Non-Hispanic White"	"6"	245	58267	4.20
	"DuPage County, IL"	"17043"	"Non-Hispanic Black"	"7"	67	5651	11.86
	"Kane County, IL"	"17089"	"Mexican"	"2148-5"	170	26359	6.45
	"Kane County, IL"	"17089"	"Puerto Rican"	"2180-8"	Suppressed	973	Suppressed
	"Kane County, IL"	"17089"	"Cuban"	"2182-4"	Suppressed	63	Suppressed
	"Kane County, IL"	"17089"	"Central or South American"	"4"	Suppressed	869	Suppressed
	"Kane County, IL"	"17089"	"Non-Hispanic White"	"6"	126	29792	4.23
	"Kane County, IL"	"17089"	"Non-Hispanic Black"	"7"	45	4340	10.37
	"Lake County, IL"	"17097"	"Mexican"	"2148-5"	102	20167	5.06
	"Lake County, IL"	"17097"	"Puerto Rican"	"2180-8"	Suppressed	1243	Suppressed
	"Lake County, IL"	"17097"	"Cuban"	"2182-4"	Suppressed	124	Suppressed
	"Lake County, IL"	"17097"	"Central or South American"	"4"	10	2109	4.74 (Unreliable)
	"Lake County, IL"	"17097"	"Non-Hispanic White"	"6"	165	37829	4.36
	"Lake County, IL"	"17097"	"Non-Hispanic Black"	"7"	75	6791	11.04
	"McHenry County, IL"	"17111"	"Mexican"	"2148-5"	33	5418	6.09
	"McHenry County, IL"	"17111"	"Puerto Rican"	"2180-8"	Suppressed	224	Suppressed
	"McHenry County, IL"	"17111"	"Cuban"	"2182-4"	Suppressed	24	Suppressed
	"McHenry County, IL"	"17111"	"Central or South American"	"4"	Suppressed	276	Suppressed
	"McHenry County, IL"	"17111"	"Non-Hispanic White"	"6"	87	23688	3.67
	"McHenry County, IL"	"17111"	"Non-Hispanic Black"	"7"	Suppressed	416	Suppressed
	"Madison County, IL"	"17119"	"Mexican"	"2148-5"	Suppressed	910	Suppressed
	"Madison County, IL"	"17119"	"Puerto Rican"	"2180-8"	Suppressed	55	Suppressed
	"Madison County, IL"	"17119"	"Cuban"	"2182-4"	Suppressed	15	Suppressed
	"Madison County, IL"	"17119"	"Central or South American"	"4"	Suppressed	56	Suppressed
	"Madison County, IL"	"17119"	"Non-Hispanic White"	"6"	109	23585	4.62
	"Madison County, IL"	"17119"	"Non-Hispanic Black"	"7"	49	3594	13.63
	"St. Clair County, IL"	"17163"	"Mexican"	"2148-5"	Suppressed	990	Suppressed
	"St. Clair County, IL"	"17163"	"Puerto Rican"	"2180-8"	Suppressed	99	Suppressed
	"St. Clair County, IL"	"17163"	"Cuban"	"2182-4"	Suppressed	17	Suppressed
	"St. Clair County, IL"	"17163"	"Central or South American"	"4"	Suppressed	105	Suppressed
	"St. Clair County, IL"	"17163"	"Non-Hispanic White"	"6"	86	17444	4.93
	"St. Clair County, IL"	"17163"	"Non-Hispanic Black"	"7"	141	12414	11.36
	"Will County, IL"	"17197"	"Mexican"	"2148-5"	87	14967	5.81
	"Will County, IL"	"17197"	"Puerto Rican"	"2180-8"	Suppressed	836	Suppressed
	"Will County, IL"	"17197"	"Cuban"	"2182-4"	Suppressed	60	Suppressed
	"Will County, IL"	"17197"	"Central or South American"	"4"	Suppressed	513	Suppressed
	"Will County, IL"	"17197"	"Non-Hispanic White"	"6"	245	46481	5.27
	"Will County, IL"	"17197"	"Non-Hispanic Black"	"7"	106	9321	11.37
	"Winnebago County, IL"	"17201"	"Mexican"	"2148-5"	26	4874	5.33
	"Winnebago County, IL"	"17201"	"Puerto Rican"	"2180-8"	Suppressed	261	Suppressed
	"Winnebago County, IL"	"17201"	"Cuban"	"2182-4"	Suppressed	51	Suppressed
	"Winnebago County, IL"	"17201"	"Central or South American"	"4"	Suppressed	206	Suppressed
	"Winnebago County, IL"	"17201"	"Non-Hispanic White"	"6"	112	21234	5.27
	"Winnebago County, IL"	"17201"	"Non-Hispanic Black"	"7"	83	6331	13.11
	"Unidentified Counties, IL"	"17999"	"Mexican"	"2148-5"	130	21757	5.98
	"Unidentified Counties, IL"	"17999"	"Puerto Rican"	"2180-8"	Suppressed	1461	Suppressed
	"Unidentified Counties, IL"	"17999"	"Cuban"	"2182-4"	Suppressed	207	Suppressed
	"Unidentified Counties, IL"	"17999"	"Central or South American"	"4"	Suppressed	1378	Suppressed
	"Unidentified Counties, IL"	"17999"	"Non-Hispanic White"	"6"	1923	314184	6.12
	"Unidentified Counties, IL"	"17999"	"Non-Hispanic Black"	"7"	553	38269	14.45
	"Allen County, IN"	"18003"	"Mexican"	"2148-5"	17	2664	6.38 (Unreliable)
	"Allen County, IN"	"18003"	"Puerto Rican"	"2180-8"	Suppressed	107	Suppressed
	"Allen County, IN"	"18003"	"Cuban"	"2182-4"	Suppressed	14	Suppressed
	"Allen County, IN"	"18003"	"Central or South American"	"4"	Suppressed	441	Suppressed
	"Allen County, IN"	"18003"	"Non-Hispanic White"	"6"	203	33907	5.99
	"Allen County, IN"	"18003"	"Non-Hispanic Black"	"7"	136	7598	17.90
	"Hamilton County, IN"	"18057"	"Mexican"	"2148-5"	Suppressed	160	Suppressed
	"Hamilton County, IN"	"18057"	"Puerto Rican"	"2180-8"	Suppressed	11	Suppressed
	"Hamilton County, IN"	"18057"	"Cuban"	"2182-4"	Suppressed	Suppressed	Suppressed
	"Hamilton County, IN"	"18057"	"Central or South American"	"4"	Suppressed	38	Suppressed
	"Hamilton County, IN"	"18057"	"Non-Hispanic White"	"6"	35	6695	5.23
	"Hamilton County, IN"	"18057"	"Non-Hispanic Black"	"7"	Suppressed	305	Suppressed
	"Lake County, IN"	"18089"	"Mexican"	"2148-5"	50	8777	5.70
	"Lake County, IN"	"18089"	"Puerto Rican"	"2180-8"	10	1227	8.15 (Unreliable)
	"Lake County, IN"	"18089"	"Cuban"	"2182-4"	Suppressed	48	Suppressed
